iter	Passed	Remaining
413	3670	5195
414	3679	5186
415	3688	5177
416	3697	5169
417	3706	5160
418	3714	5151
419	3724	5143
420	3733	5134
421	3742	5126
422	3751	5117
423	3761	5109
424	3770	5101
425	3779	5092
426	3788	5083
427	3797	5074
428	3806	5066
429	3815	5057
430	3824	5048
431	3832	5039
432	3841	5030
433	3850	5021
434	3859	5012
435	3868	5003
436	3877	4995
437	3886	4987
438	3895	4978
439	3904	4969
440	3913	4960
441	3922	4951
442	3930	4942
443	3940	4933
444	3948	4924
445	3957	4916
446	3967	4907
447	3976	4899
448	3985	4890
449	3994	4882
450	4003	4873
451	4012	4864
452	4022	4856
453	4031	4848
454	4040	4840
455	4050	4831
456	4060	4824
457	4069	4815
458	4078	4807
459	4087	4798
460	4096	4789
461	4105	4780
462	4114	4771
463	4123	4762
464	4131	4753
465	4140	4744
466	4149	4735
467	4158	4727
468	4168	4719
469	4176	4710
470	4185	4701
471	4194	4692
472	4203	4683
473	4212	4674
474	4221	4665
475	4230	4656
476	4239	4648
477	4248	4639
478	4257	4630
479	4266	4622
480	4275	4613
481	4284	4604
482	4293	4596
483	4303	4587
484	4311	4578
485	4320	4569
486	4329	4560
487	4338	4551
488	4346	4542
489	4356	4533
490	4364	4524
491	4374	4516
492	4383	4507
493	4392	4498
494	4400	4489
495	4409	4481
496	4418	4472
497	4428	4463
498	4437	4455
499	4446	4446
500	4456	4438
501	4465	4430
502	4474	4421
503	4484	4412
504	4492	4403
505	4501	4394
506	4510	4386
507	4520	4377
508	4529	4369
509	4538	4360
510	4546	4351
511	4556	4342
512	4565	4333
513	4574	4325
514	4583	4316
515	4592	4307
516	4601	4298
517	4609	4289
518	4618	4280
519	4627	4271
520	4637	4263
521	4645	4254
522	4654	4245
523	4663	4236
524	4672	4227
525	4680	4218
526	4689	4209
527	4698	4200
528	4707	4191
529	4715	4181
530	4724	4173
531	4733	4164
532	4742	4155
533	4751	4146
534	4760	4137
535	4769	4128
536	4778	4119
537	4787	4111
538	4796	4102
539	4804	4093
540	4813	4084
541	4822	4075
542	4831	4066
543	4840	4057
544	4849	4048
545	4858	4039
546	4867	4031
547	4876	4022
548	4886	4014
549	4896	4005
550	4906	3998
551	4915	3989
552	4925	3981
553	4934	3972
554	4943	3963
555	4952	3954
556	4960	3945
557	4969	3936
558	4978	3927
559	4987	3918
560	4996	3909
561	5005	3900
562	5013	3891
563	5022	3882
564	5031	3873
565	5040	3865
566	5050	3856
567	5059	3847
568	5068	3838
569	5076	3829
570	5086	3821
571	5095	3812
572	5104	3803
573	5112	3794
574	5121	3785
575	5130	3776
576	5139	3767
577	5148	3758
578	5157	3750
579	5166	3741
580	5175	3732
581	5184	3723
582	5192	3714
583	5201	3705
584	5210	3696
585	5219	3687
586	5228	3678
587	5237	3669
588	5246	3661
589	5255	3652
590	5265	3643
591	5274	3635
592	5284	3626
593	5293	3618
594	5303	3609
595	5311	3600
596	5320	3591
597	5329	3582
598	5338	3573
599	5347	3564
600	5355	3555
601	5364	3546
602	5373	3537
603	5382	3528
604	5390	3519
605	5399	3510
606	5408	3502
607	5417	3493
608	5426	3483
609	5434	3474
610	5443	3465
611	5453	3457
612	5461	3448
613	5470	3439
614	5478	3429
615	5487	3420
616	5496	3411
617	5505	3403
618	5515	3394
619	5523	3385
620	5532	3376
621	5541	3367
622	5549	3358
623	5559	3349
624	5567	3340
625	5576	3331
626	5585	3322
627	5595	3314
628	5604	3305
629	5612	3296
630	5621	3287
631	5630	3278
632	5639	3269
633	5648	3260
634	5656	3251
635	5666	3242
636	5674	3233
637	5683	3224
638	5691	3215
639	5700	3206
640	5709	3197
641	5718	3188
642	5727	3179
643	5736	3171
644	5745	3162
645	5754	3153
646	5762	3144
647	5771	3135
648	5780	3126
649	5790	3117
650	5799	3108
651	5808	3100
652	5816	3091
653	5825	3082
654	5834	3073
655	5843	3064
656	5852	3055
657	5861	3046
658	5870	3037
659	5879	3028
660	5888	3019
661	5896	3010
662	5905	3001
663	5914	2992
664	5923	2984
665	5932	2975
666	5941	2966
667	5949	2957
668	5958	2948
669	5967	2939
670	5975	2930
671	5984	2920
672	5993	2912
673	6002	2903
674	6011	2894
675	6020	2885
676	6028	2876
677	6037	2867
678	6047	2858
679	6056	2850
680	6065	2841
681	6073	2832
682	6082	2823
683	6091	2814
684	6099	2804
685	6108	2796
686	6117	2787
687	6126	2778
688	6134	2769
689	6144	2760
690	6153	2751
691	6162	2742
692	6171	2733
693	6180	2724
694	6188	2715
695	6197	2707
696	6206	2698
697	6215	2689
698	6223	2680
699	6232	2671
700	6241	2662
701	6250	2653
702	6260	2644
703	6269	2636
704	6278	2627
705	6286	2618
706	6295	2609
707	6304	2600
708	6313	2591
709	6321	2582
710	6330	2573
711	6339	2564
712	6348	2555
713	6357	2546
714	6366	2537
715	6374	2528
716	6383	2519
717	6392	2510
718	6401	2501
719	6410	2493
720	6419	2484
721	6428	2475
722	6437	2466
723	6446	2457
724	6454	2448
725	6463	2439
726	6472	2430
727	6481	2421
728	6490	2412
729	6499	2403
730	6507	2394
731	6516	2385
732	6525	2377
733	6534	2368
734	6543	2359
735	6552	2350
736	6561	2341
737	6570	2332
738	6580	2323
739	6588	2314
740	6597	2305
741	6606	2297
742	6615	2288
743	6624	2279
744	6633	2270
745	6642	2261
746	6650	2252
747	6660	2243
748	6669	2235
749	6678	2226
750	6687	2217
751	6695	2208
752	6704	2199
753	6713	2190
754	6722	2181
755	6731	2172
756	6739	2163
757	6748	2154
758	6757	2145
759	6766	2136
760	6775	2127
761	6783	2118
762	6793	2110
763	6802	2101
764	6810	2092
765	6819	2083
766	6828	2074
767	6837	2065
768	6845	2056
769	6854	2047
770	6863	2038
771	6872	2029
772	6880	2020
773	6889	2011
774	6898	2002
775	6907	1994
776	6916	1985
777	6925	1976
778	6934	1967
779	6943	1958
780	6952	1949
781	6961	1940
782	6970	1931
783	6978	1922
784	6987	1913
785	6996	1904
786	7005	1896
787	7014	1887
788	7023	1878
789	7032	1869
790	7041	1860
791	7051	1852
792	7061	1843
793	7071	1834
794	7080	1825
795	7090	1817
796	7098	1808
797	7107	1799
798	7116	1790
799	7126	1781
