iter	Logloss
0	0.6219190247
1	0.5663034881
2	0.5076249378
3	0.463533531
4	0.429068745
5	0.3854722505
6	0.3263656742
7	0.2999630564
8	0.2775064492
9	0.2553326521
10	0.2277965227
11	0.2160027546
12	0.2088566978
13	0.1906502835
14	0.1809576075
15	0.1754974183
16	0.1729129507
17	0.1704716826
18	0.1679484349
19	0.159858731
20	0.1584455397
21	0.155709868
22	0.1534858634
23	0.1520483113
24	0.1502324195
25	0.1477971125
26	0.1471052524
27	0.143507774
28	0.1422426853
29	0.1412089409
30	0.1391316179
31	0.136532375
32	0.13579735
33	0.1347521196
34	0.1338448223
35	0.1332862494
36	0.1325649664
37	0.132152493
38	0.1317040372
39	0.1308149632
40	0.1304310245
41	0.1297815015
42	0.129517617
43	0.1289729064
44	0.128593701
45	0.1281827487
46	0.1278387076
47	0.1274128845
48	0.1270960463
49	0.1268298443
50	0.1265508553
51	0.1261129715
52	0.1258438387
53	0.1255181861
54	0.1253406844
55	0.1251234005
56	0.1249563449
57	0.1246800815
58	0.1242883874
59	0.1241498491
60	0.1238333636
61	0.1230230283
62	0.122848383
63	0.1225566375
64	0.1224232464
65	0.1222620987
66	0.1220150415
67	0.1217810726
68	0.1215995889
69	0.1212696354
70	0.1211350042
71	0.1208844794
72	0.1207027909
73	0.1205059301
74	0.1202851886
75	0.119855456
76	0.1196626656
77	0.1195728675
78	0.119483627
79	0.1193341816
80	0.1192448259
81	0.119157932
82	0.1190062675
83	0.1188591791
84	0.1187720557
85	0.118399855
86	0.1182383676
87	0.1181546516
88	0.118039929
89	0.1179077954
90	0.1176072421
91	0.1175641637
92	0.1174100016
93	0.1173299717
94	0.1172649349
95	0.1171598468
96	0.1168059562
97	0.1166859805
98	0.1166036775
99	0.116510316
100	0.1164428056
101	0.1163784632
102	0.1162559283
103	0.1161803191
104	0.1160235892
105	0.1157454628
106	0.1156552801
107	0.1155327408
108	0.1152943975
109	0.1152264258
110	0.1151253633
111	0.1149862617
112	0.1148327457
113	0.114740355
114	0.1146546307
115	0.1145430102
116	0.1142639477
117	0.114214348
118	0.114112598
119	0.1139736222
120	0.1138680214
121	0.1137906062
122	0.1137189595
123	0.1136411045
124	0.1135614821
125	0.113455252
126	0.1133638491
127	0.1132920137
128	0.1132176301
129	0.1130212039
130	0.112920729
131	0.1127715627
132	0.1126822652
133	0.1126159955
134	0.1125511948
135	0.1125066912
136	0.1124461392
137	0.1123489926
138	0.1122861817
139	0.112251571
140	0.1121582912
141	0.1121036572
142	0.1120531865
143	0.1119757137
144	0.1119052566
145	0.1118716888
146	0.1117355558
147	0.111687172
148	0.1116601988
149	0.1115055762
150	0.111447305
151	0.1113839169
152	0.1113530632
153	0.1112674858
154	0.1111721475
155	0.11107845
156	0.1110232679
157	0.1109189641
158	0.1108414004
159	0.11078159
160	0.1107066954
161	0.1106403108
162	0.1104894885
163	0.1103453262
164	0.1102996628
165	0.1101935765
166	0.1101234262
167	0.110059864
168	0.1099500852
169	0.1098846784
170	0.1098378184
171	0.1097901212
172	0.1097417614
173	0.1096844246
174	0.1095572237
175	0.1094601056
176	0.1093427109
177	0.1092270356
178	0.1091766485
179	0.1091162153
180	0.1090246996
